0.sledgehammer initialize Params for sledgehammer: {abduce = SOME 0, cache_dir = NONE, compress = NONE, debug = false, expect =
0.sledgehammer initialize  "", fact_filter = NONE, fact_thresholds = (0.45, 0.85), falsify =
0.sledgehammer initialize  SOME false, induction_rules = NONE, instantiate = NONE, isar_proofs = NONE,
0.sledgehammer initialize  lam_trans = NONE, learn = true, max_facts = NONE, max_mono_iters = NONE,
0.sledgehammer initialize  max_new_mono_instances = NONE, max_proofs = 4, minimize = true, overlord =
0.sledgehammer initialize  false, preplay_provers = [], preplay_timeout = 1.000, provers =
0.sledgehammer initialize  ["cvc5_proof"], slices = 96, smt_proofs = true, spy = false, strict =
0.sledgehammer initialize  false, timeout = 30.000, try0 = true, type_enc = NONE, uncurried_aliases =
0.sledgehammer initialize  NONE, verbose = false}
0.sledgehammer goal.by            0ms Ordered_Resolution_Prover.FO_Ordered_Resolution 43:1692  
0.sledgehammer goal.by        32075ms Ordered_Resolution_Prover.FO_Ordered_Resolution 761:28074  timeout (SH 32075ms): Timed out
0.sledgehammer goal.using     33188ms Ordered_Resolution_Prover.FO_Ordered_Resolution 764:28129  some (SH 33188ms, ATP 1144ms): Try this: using AAs0_AAs \<open>Cs0 \<cdot>\<cdot>cl \<eta>s0 = Cs\<close> \<open>\<forall>i<n. CAs0 ! i = Cs0 ! i + poss (AAs0 ! i)\<close> n(8,9) that by blast (2 ms)
0.sledgehammer goal.by         9747ms Ordered_Resolution_Prover.FO_Ordered_Resolution 767:28287  some (SH 9747ms, ATP 2136ms): Try this: by blast (5 ms)
0.sledgehammer goal.using     40196ms Ordered_Resolution_Prover.FO_Ordered_Resolution 772:28425  some (SH 40196ms, ATP 944ms): Try this: by (metis (full_types) S_M_grounding_of_clss grounding insertCI le_sup_iff local.select subset_iff) (2.4 s)
0.sledgehammer goal.by        17207ms Ordered_Resolution_Prover.FO_Ordered_Resolution 772:28470  some (SH 17206ms, ATP 133ms): Try this: by (metis insert_subset le_sup_iff) (68 ms)
0.sledgehammer goal.by         4569ms Ordered_Resolution_Prover.FO_Ordered_Resolution 775:28627  some (SH 4569ms, ATP 398ms): Try this: by blast (5 ms)
0.sledgehammer goal.using      4685ms Ordered_Resolution_Prover.FO_Ordered_Resolution 778:28718  some (SH 4685ms, ATP 288ms): Try this: using DA0_\<eta>0_p by blast (1 ms)
0.sledgehammer goal.by         3915ms Ordered_Resolution_Prover.FO_Ordered_Resolution 778:28733  some (SH 3915ms, ATP 304ms): Try this: by blast (0.3 ms)
0.sledgehammer goal.using      9221ms Ordered_Resolution_Prover.FO_Ordered_Resolution 780:28779  some (SH 9221ms, ATP 363ms): Try this: using DA0_\<eta>0_p by blast (0.6 ms)
0.sledgehammer goal.by         4033ms Ordered_Resolution_Prover.FO_Ordered_Resolution 780:28794  some (SH 4033ms, ATP 378ms): Try this: by meson (0.5 ms)
0.sledgehammer goal.using      4623ms Ordered_Resolution_Prover.FO_Ordered_Resolution 782:28853  some (SH 4623ms, ATP 302ms): Try this: using DA0_\<eta>0_p by blast (0.6 ms)
0.sledgehammer goal.by         4252ms Ordered_Resolution_Prover.FO_Ordered_Resolution 782:28868  some (SH 4252ms, ATP 329ms): Try this: by blast (0.7 ms)
0.sledgehammer goal.using     11168ms Ordered_Resolution_Prover.FO_Ordered_Resolution 784:28908  some (SH 11168ms, ATP 296ms): Try this: using DA0_\<eta>0_p by blast (0.5 ms)
0.sledgehammer goal.by         4040ms Ordered_Resolution_Prover.FO_Ordered_Resolution 784:28923  some (SH 4040ms, ATP 300ms): Try this: by blast (0.5 ms)
0.sledgehammer goal.proof     36928ms Ordered_Resolution_Prover.FO_Ordered_Resolution 790:29163  timeout (SH 36928ms): Timed out
0.sledgehammer goal.by        38634ms Ordered_Resolution_Prover.FO_Ordered_Resolution 795:29366  timeout (SH 38634ms): Timed out
0.sledgehammer goal.by         6168ms Ordered_Resolution_Prover.FO_Ordered_Resolution 797:29457  some (SH 6168ms, ATP 853ms): Try this: by (metis image_mset_single) (75 ms)
0.sledgehammer goal.using     11404ms Ordered_Resolution_Prover.FO_Ordered_Resolution 799:29547  some (SH 11404ms, ATP 433ms): Try this: using \<open>D_twin = D\<close> local.ord_resolve(1) by argo (4 ms)
0.sledgehammer goal.by         4634ms Ordered_Resolution_Prover.FO_Ordered_Resolution 799:29556  some (SH 4634ms, ATP 461ms): Try this: by presburger (3 ms)
0.sledgehammer goal.using     44808ms Ordered_Resolution_Prover.FO_Ordered_Resolution 801:29634  some (SH 44808ms, ATP 2557ms): Try this: by (metis (no_types, lifting) DA0_\<eta>0_p Set.set_insert add.commute image_iff insert_subset mset_subset_eq_add_left multiset.set_map set_mset_mono subst_cls_def union_single_eq_member) (118 ms)
0.sledgehammer goal.by        14982ms Ordered_Resolution_Prover.FO_Ordered_Resolution 801:29650  some (SH 14982ms, ATP 612ms): Try this: by (metis Melem_subst_cls union_mset_add_mset_right union_single_eq_member) (75 ms)
0.sledgehammer goal.by        14820ms Ordered_Resolution_Prover.FO_Ordered_Resolution 803:29806  some (SH 14820ms, ATP 438ms): Try this: by (metis literal.collapse(2) literal.disc(2) subst_lit_is_neg) (25 ms)
0.sledgehammer goal.using     38923ms Ordered_Resolution_Prover.FO_Ordered_Resolution 805:29945  some (SH 38923ms, ATP 631ms): Try this: using as by force (22 ms)
0.sledgehammer goal.by        14548ms Ordered_Resolution_Prover.FO_Ordered_Resolution 805:29968  some (SH 14548ms, ATP 1614ms): Try this: by auto (47 ms)
0.sledgehammer goal.using     10333ms Ordered_Resolution_Prover.FO_Ordered_Resolution 808:30122  some (SH 10332ms, ATP 890ms): Try this: using a by blast (1 ms)
0.sledgehammer goal.by         6748ms Ordered_Resolution_Prover.FO_Ordered_Resolution 808:30130  some (SH 6747ms, ATP 860ms): Try this: by blast (7 ms)
0.sledgehammer goal.using      6581ms Ordered_Resolution_Prover.FO_Ordered_Resolution 814:30279  some (SH 6581ms, ATP 614ms): Try this: using DA0_\<eta>0_p da by argo (8 ms)
0.sledgehammer goal.by         5013ms Ordered_Resolution_Prover.FO_Ordered_Resolution 814:30314  some (SH 5013ms, ATP 481ms): Try this: by argo (3 ms)
0.sledgehammer goal.using      7145ms Ordered_Resolution_Prover.FO_Ordered_Resolution 816:30396  some (SH 7145ms, ATP 978ms): Try this: using instance_list by blast (4 ms)
0.sledgehammer goal.by         5418ms Ordered_Resolution_Prover.FO_Ordered_Resolution 816:30455  some (SH 5418ms, ATP 776ms): Try this: by fastforce (4 ms)
0.sledgehammer goal.using      8683ms Ordered_Resolution_Prover.FO_Ordered_Resolution 819:30609  some (SH 8683ms, ATP 976ms): Try this: by (metis S.S_selects_subseteq) (66 ms)
0.sledgehammer goal.by        11652ms Ordered_Resolution_Prover.FO_Ordered_Resolution 819:30636  some (SH 11652ms, ATP 996ms): Try this: by metis (36 ms)
0.sledgehammer goal.using     23456ms Ordered_Resolution_Prover.FO_Ordered_Resolution 823:30798  some (SH 23456ms, ATP 1071ms): Try this: using One_nat_def \<open>D_twin = D\<close> eligible.simps local.ord_resolve(11) by presburger (17 ms)
0.sledgehammer goal.unfolding 19510ms Ordered_Resolution_Prover.FO_Ordered_Resolution 823:30813  some (SH 19510ms, ATP 1023ms): Try this: by (metis (no_types, lifting) One_nat_def eligible.simps) (317 ms)
0.sledgehammer goal.by        19316ms Ordered_Resolution_Prover.FO_Ordered_Resolution 823:30838  some (SH 19315ms, ATP 400ms): Try this: using One_nat_def by presburger (15 ms)
0.sledgehammer goal.by         5980ms Ordered_Resolution_Prover.FO_Ordered_Resolution 827:31005  some (SH 5980ms, ATP 779ms): Try this: by presburger (11 ms)
0.sledgehammer goal.using     12386ms Ordered_Resolution_Prover.FO_Ordered_Resolution 829:31051  some (SH 12386ms, ATP 919ms): Try this: using \<open>n_twin = n\<close> local.ord_resolve(6) by force (19 ms)
0.sledgehammer goal.by         9173ms Ordered_Resolution_Prover.FO_Ordered_Resolution 829:31064  some (SH 9173ms, ATP 682ms): Try this: by (metis subst_atm_list_length) (30 ms)
0.sledgehammer goal.using      9379ms Ordered_Resolution_Prover.FO_Ordered_Resolution 833:31126  some (SH 9379ms, ATP 485ms): Try this: using As0_p by blast (1 ms)
0.sledgehammer goal.by         5043ms Ordered_Resolution_Prover.FO_Ordered_Resolution 833:31138  some (SH 5042ms, ATP 952ms): Try this: by blast (0.8 ms)
0.sledgehammer goal.using     21555ms Ordered_Resolution_Prover.FO_Ordered_Resolution 838:31251  some (SH 21555ms, ATP 810ms): Try this: using As0_p by auto (16 ms)
0.sledgehammer goal.by         7574ms Ordered_Resolution_Prover.FO_Ordered_Resolution 838:31263  some (SH 7574ms, ATP 671ms): Try this: by simp (17 ms)
0.sledgehammer goal.using     44418ms Ordered_Resolution_Prover.FO_Ordered_Resolution 840:31305  some (SH 44418ms, ATP 879ms): Try this: by (metis DA0_\<eta>0_p \<open>As0 \<cdot>al \<eta>0 = As\<close> \<open>D_twin = D\<close> add_right_cancel local.ord_resolve(1) mset_subst_atm_list_subst_atm_mset subst_cls_negs subst_cls_union) (66 ms)
0.sledgehammer goal.by        16521ms Ordered_Resolution_Prover.FO_Ordered_Resolution 840:31330  some (SH 16521ms, ATP 564ms): Try this: by force (64 ms)
0.sledgehammer goal.using      5549ms Ordered_Resolution_Prover.FO_Ordered_Resolution 843:31417  some (SH 5549ms, ATP 448ms): Try this: using As0_p by force (2 ms)
0.sledgehammer goal.by         4782ms Ordered_Resolution_Prover.FO_Ordered_Resolution 843:31429  some (SH 4782ms, ATP 449ms): Try this: by force (0.9 ms)
0.sledgehammer goal.using     18110ms Ordered_Resolution_Prover.FO_Ordered_Resolution 845:31466  some (SH 18110ms, ATP 569ms): Try this: using As0_p \<open>D0 \<cdot> \<eta>0 = D\<close> \<open>DA0 = D0 + negs (mset As0)\<close> n(8) that by blast (17 ms)
0.sledgehammer goal.by         5043ms Ordered_Resolution_Prover.FO_Ordered_Resolution 846:31563  some (SH 5042ms, ATP 687ms): Try this: by blast (21 ms)
0.sledgehammer goal.using     30863ms Ordered_Resolution_Prover.FO_Ordered_Resolution 850:31598  timeout (SH 30863ms): Timed out
0.sledgehammer goal.by         4788ms Ordered_Resolution_Prover.FO_Ordered_Resolution 861:32091  some (SH 4788ms, ATP 345ms): Try this: by blast (3 ms)
0.sledgehammer goal.using     36957ms Ordered_Resolution_Prover.FO_Ordered_Resolution 879:32672  timeout (SH 36957ms): Timed out
0.sledgehammer goal.proof     36488ms Ordered_Resolution_Prover.FO_Ordered_Resolution 880:32684  timeout (SH 36487ms): Timed out
0.sledgehammer goal.using     37336ms Ordered_Resolution_Prover.FO_Ordered_Resolution 889:33164  timeout (SH 37336ms): Timed out
0.sledgehammer goal.unfolding 36392ms Ordered_Resolution_Prover.FO_Ordered_Resolution 889:33181  timeout (SH 36392ms): Timed out
0.sledgehammer goal.by        36272ms Ordered_Resolution_Prover.FO_Ordered_Resolution 889:33212  timeout (SH 36272ms): Timed out
0.sledgehammer goal.by         5326ms Ordered_Resolution_Prover.FO_Ordered_Resolution 893:33357  some (SH 5326ms, ATP 589ms): Try this: using local.select by blast (0.8 ms)
0.sledgehammer goal.using     36833ms Ordered_Resolution_Prover.FO_Ordered_Resolution 916:34005  timeout (SH 36833ms): Timed out
0.sledgehammer goal.by        23976ms Ordered_Resolution_Prover.FO_Ordered_Resolution 917:34203  some (SH 23976ms, ATP 2153ms): Try this: by blast (65 ms)
0.sledgehammer goal.using      7881ms Ordered_Resolution_Prover.FO_Ordered_Resolution 922:34373  some (SH 7881ms, ATP 726ms): Try this: by (simp add: n(1) renamings_apart_length) (0.6 ms)
0.sledgehammer goal.by         5350ms Ordered_Resolution_Prover.FO_Ordered_Resolution 922:34404  some (SH 5350ms, ATP 757ms): Try this: by auto (71 ms)
0.sledgehammer goal.using     33910ms Ordered_Resolution_Prover.FO_Ordered_Resolution 948:34972  timeout (SH 33910ms): Timed out
0.sledgehammer goal.unfolding 34190ms Ordered_Resolution_Prover.FO_Ordered_Resolution 948:35026  timeout (SH 34190ms): Timed out
0.sledgehammer goal.by        36627ms Ordered_Resolution_Prover.FO_Ordered_Resolution 949:35046  some (SH 36627ms, ATP 1265ms): Try this: by (metis length_greater_0_conv list.collapse list.set_intros(1) n(1) zero_less_Suc) (48 ms)
0.sledgehammer goal.using     34404ms Ordered_Resolution_Prover.FO_Ordered_Resolution 952:35177  timeout (SH 34404ms): Timed out
0.sledgehammer goal.unfolding 33901ms Ordered_Resolution_Prover.FO_Ordered_Resolution 952:35231  timeout (SH 33901ms): Timed out
0.sledgehammer goal.by        38613ms Ordered_Resolution_Prover.FO_Ordered_Resolution 953:35252  some (SH 38613ms, ATP 1804ms): Try this: by (metis is_renaming_list_def length_greater_0_conv list.collapse list.set_intros(2) n(1) zero_less_Suc) (24 ms)
0.sledgehammer goal.unfolding 16682ms Ordered_Resolution_Prover.FO_Ordered_Resolution 956:35364  some (SH 16682ms, ATP 717ms): Try this: by (simp add: \<rho>s_def n(2) renamings_apart_length) (1 ms)
0.sledgehammer goal.using     11204ms Ordered_Resolution_Prover.FO_Ordered_Resolution 956:35381  some (SH 11204ms, ATP 1157ms): Try this: using n(1) by auto (0.8 ms)
0.sledgehammer goal.by         8223ms Ordered_Resolution_Prover.FO_Ordered_Resolution 956:35389  some (SH 8223ms, ATP 1299ms): Try this: by auto (54 ms)
0.sledgehammer goal.unfolding  6823ms Ordered_Resolution_Prover.FO_Ordered_Resolution 959:35455  some (SH 6823ms, ATP 397ms): Try this: by (simp add: As0'_def n(4)) (1 ms)
0.sledgehammer goal.using      5748ms Ordered_Resolution_Prover.FO_Ordered_Resolution 959:35474  some (SH 5748ms, ATP 632ms): Try this: by (simp add: n(4)) (1 ms)
0.sledgehammer goal.by         3412ms Ordered_Resolution_Prover.FO_Ordered_Resolution 959:35482  some (SH 3412ms, ATP 387ms): Try this: using subst_atm_list_length by presburger (8 ms)
0.sledgehammer goal.using     18126ms Ordered_Resolution_Prover.FO_Ordered_Resolution 961:35520  some (SH 18126ms, ATP 1824ms): Try this: by (metis CAs0'_def as0(7) cas_len n(12,3) subst_cls_lists_length) (33 ms)
0.sledgehammer goal.unfolding 17612ms Ordered_Resolution_Prover.FO_Ordered_Resolution 961:35535  some (SH 17612ms, ATP 2237ms): Try this: using CAs0'_def by auto (40 ms)
0.sledgehammer goal.by        13870ms Ordered_Resolution_Prover.FO_Ordered_Resolution 961:35555  some (SH 13870ms, ATP 2140ms): Try this: by auto (112 ms)
0.sledgehammer goal.unfolding 33243ms Ordered_Resolution_Prover.FO_Ordered_Resolution 963:35592  timeout (SH 33243ms): Timed out
0.sledgehammer goal.using     18676ms Ordered_Resolution_Prover.FO_Ordered_Resolution 963:35611  some (SH 18676ms, ATP 1844ms): Try this: by (metis as0(18) cs_len n(12,3) subst_cls_lists_length) (26 ms)
0.sledgehammer goal.by        13674ms Ordered_Resolution_Prover.FO_Ordered_Resolution 963:35619  some (SH 13674ms, ATP 2289ms): Try this: by simp (88 ms)
0.sledgehammer goal.unfolding 25191ms Ordered_Resolution_Prover.FO_Ordered_Resolution 965:35657  some (SH 25191ms, ATP 1219ms): Try this: by (simp add: AAs0'_def n(12,5)) (2 ms)
0.sledgehammer goal.using     18186ms Ordered_Resolution_Prover.FO_Ordered_Resolution 965:35677  some (SH 18186ms, ATP 1835ms): Try this: by (metis aas_len as0(12) n(12,3) subst_atm_mset_lists_length) (55 ms)
0.sledgehammer goal.by        11071ms Ordered_Resolution_Prover.FO_Ordered_Resolution 965:35685  some (SH 11071ms, ATP 2202ms): Try this: by (metis as0(12) subst_atm_mset_lists_length) (24 ms)
0.sledgehammer goal.using     40242ms Ordered_Resolution_Prover.FO_Ordered_Resolution 967:35722  some (SH 40242ms, ATP 1347ms): Try this: by (metis \<eta>s0'_def as0(18) comp_substs_length cs_len length_map n(12,6) subst_cls_lists_length) (29 ms)
0.sledgehammer goal.unfolding 17245ms Ordered_Resolution_Prover.FO_Ordered_Resolution 967:35737  some (SH 17245ms, ATP 885ms): Try this: by (metis \<eta>s0'_def as0(18) comp_substs_length length_map subst_cls_lists_length) (40 ms)
0.sledgehammer goal.by        15490ms Ordered_Resolution_Prover.FO_Ordered_Resolution 967:35756  some (SH 15490ms, ATP 945ms): Try this: by simp (52 ms)
0.sledgehammer goal.using     36323ms Ordered_Resolution_Prover.FO_Ordered_Resolution 971:35908  timeout (SH 36322ms): Timed out
0.sledgehammer goal.unfolding 36183ms Ordered_Resolution_Prover.FO_Ordered_Resolution 971:35921  timeout (SH 36183ms): Timed out
0.sledgehammer goal.using      7979ms Ordered_Resolution_Prover.FO_Ordered_Resolution 971:35948  some (SH 7979ms, ATP 539ms): Try this: by (simp add: renames_DA0) (5 ms)
0.sledgehammer goal.by         7286ms Ordered_Resolution_Prover.FO_Ordered_Resolution 971:35966  some (SH 7286ms, ATP 503ms): Try this: using is_renaming_inv_renaming_cancel_cls subst_cls_comp_subst by presburger (5 ms)
0.sledgehammer goal.using     19461ms Ordered_Resolution_Prover.FO_Ordered_Resolution 973:36008  some (SH 19461ms, ATP 579ms): Try this: using D0'_def \<eta>0'_def as0(14) is_renaming_inv_renaming_cancel_cls renames_DA0 subst_cls_comp_subst by presburger (3 ms)
0.sledgehammer goal.unfolding 15185ms Ordered_Resolution_Prover.FO_Ordered_Resolution 973:36022  some (SH 15185ms, ATP 471ms): Try this: by (simp add: D0'_def \<eta>0'_def renames_DA0) (6 ms)
0.sledgehammer goal.using      7935ms Ordered_Resolution_Prover.FO_Ordered_Resolution 973:36048  some (SH 7935ms, ATP 546ms): Try this: using is_renaming_inv_renaming_cancel_cls renames_DA0 subst_cls_comp_subst by presburger (6 ms)
0.sledgehammer goal.by         7348ms Ordered_Resolution_Prover.FO_Ordered_Resolution 973:36066  some (SH 7348ms, ATP 492ms): Try this: using is_renaming_inv_renaming_cancel_cls subst_cls_comp_subst by presburger (7 ms)
0.sledgehammer goal.using     24591ms Ordered_Resolution_Prover.FO_Ordered_Resolution 975:36114  some (SH 24591ms, ATP 716ms): Try this: by (simp add: As0'_def \<eta>0'_def as0(11) renames_DA0) (1 ms)
0.sledgehammer goal.unfolding 15872ms Ordered_Resolution_Prover.FO_Ordered_Resolution 975:36128  some (SH 15871ms, ATP 670ms): Try this: by (simp add: As0'_def \<eta>0'_def renames_DA0) (2 ms)
0.sledgehammer goal.using      9222ms Ordered_Resolution_Prover.FO_Ordered_Resolution 975:36155  some (SH 9222ms, ATP 797ms): Try this: using renames_DA0 by auto (3 ms)
0.sledgehammer goal.by         7117ms Ordered_Resolution_Prover.FO_Ordered_Resolution 975:36173  some (SH 7117ms, ATP 629ms): Try this: by auto (4 ms)
0.sledgehammer goal.using     20746ms Ordered_Resolution_Prover.FO_Ordered_Resolution 977:36220  some (SH 20746ms, ATP 544ms): Try this: by (simp add: DA0'_def \<eta>0'_def as0(5) renames_DA0 sel_stable) (5 ms)
0.sledgehammer goal.unfolding 16902ms Ordered_Resolution_Prover.FO_Ordered_Resolution 977:36233  some (SH 16902ms, ATP 568ms): Try this: by (simp add: DA0'_def \<eta>0'_def renames_DA0 sel_stable) (7 ms)
0.sledgehammer goal.using     10736ms Ordered_Resolution_Prover.FO_Ordered_Resolution 977:36260  some (SH 10736ms, ATP 691ms): Try this: using renames_DA0 sel_stable by auto (13 ms)
0.sledgehammer goal.by         8045ms Ordered_Resolution_Prover.FO_Ordered_Resolution 977:36289  some (SH 8045ms, ATP 606ms): Try this: by force (11 ms)
0.sledgehammer goal.using     35204ms Ordered_Resolution_Prover.FO_Ordered_Resolution 979:36343  timeout (SH 35204ms): Timed out
0.sledgehammer goal.unfolding 37024ms Ordered_Resolution_Prover.FO_Ordered_Resolution 979:36356  some (SH 37023ms, ATP 1481ms): Try this: using CAs0'_def \<eta>s0'_def is_renaming_list_inv_renaming_cancel_cls_list n(17,7) renames_CAs0 subst_cls_lists_comp_substs by presburger (4 ms)
0.sledgehammer goal.using     26763ms Ordered_Resolution_Prover.FO_Ordered_Resolution 979:36385  some (SH 26763ms, ATP 559ms): Try this: using is_renaming_list_inv_renaming_cancel_cls_list n(17,7) renames_CAs0 subst_cls_lists_comp_substs by presburger (3 ms)
0.sledgehammer goal.by        16784ms Ordered_Resolution_Prover.FO_Ordered_Resolution 979:36406  some (SH 16784ms, ATP 1739ms): Try this: by auto (131 ms)
0.sledgehammer goal.using     23038ms Ordered_Resolution_Prover.FO_Ordered_Resolution 981:36456  some (SH 23038ms, ATP 680ms): Try this: using Cs0'_def \<eta>s0'_def as0(18) is_renaming_list_inv_renaming_cancel_cls_list n(11,17) renames_CAs0 subst_cls_lists_comp_substs by presburger (4 ms)
0.sledgehammer goal.unfolding 18697ms Ordered_Resolution_Prover.FO_Ordered_Resolution 981:36470  some (SH 18697ms, ATP 706ms): Try this: using Cs0'_def \<eta>s0'_def is_renaming_list_inv_renaming_cancel_cls_list n(11,17) renames_CAs0 subst_cls_lists_comp_substs by presburger (7 ms)
0.sledgehammer goal.using     16364ms Ordered_Resolution_Prover.FO_Ordered_Resolution 981:36498  some (SH 16364ms, ATP 700ms): Try this: using is_renaming_list_inv_renaming_cancel_cls_list n(11,17) renames_CAs0 subst_cls_lists_comp_substs by presburger (4 ms)
0.sledgehammer goal.by        18967ms Ordered_Resolution_Prover.FO_Ordered_Resolution 981:36519  some (SH 18967ms, ATP 1733ms): Try this: by auto (137 ms)
0.sledgehammer goal.using     28007ms Ordered_Resolution_Prover.FO_Ordered_Resolution 983:36574  some (SH 28007ms, ATP 1126ms): Try this: by (simp add: AAs0'_def \<eta>s0'_def as0(12) n(10,17) renames_CAs0) (1 ms)
0.sledgehammer goal.unfolding 17353ms Ordered_Resolution_Prover.FO_Ordered_Resolution 983:36588  some (SH 17353ms, ATP 1028ms): Try this: by (simp add: AAs0'_def \<eta>s0'_def n(10,17) renames_CAs0) (1 ms)
0.sledgehammer goal.using     13986ms Ordered_Resolution_Prover.FO_Ordered_Resolution 983:36617  some (SH 13986ms, ATP 791ms): Try this: by (simp add: n(10,17) renames_CAs0) (1 ms)
0.sledgehammer goal.using     13185ms Ordered_Resolution_Prover.FO_Ordered_Resolution 983:36636  some (SH 13185ms, ATP 1053ms): Try this: by (simp add: n(10,17)) (1 ms)
0.sledgehammer goal.by        14258ms Ordered_Resolution_Prover.FO_Ordered_Resolution 983:36644  some (SH 14258ms, ATP 2366ms): Try this: by auto (78 ms)
0.sledgehammer goal.unfolding 35986ms Ordered_Resolution_Prover.FO_Ordered_Resolution 985:36707  timeout (SH 35986ms): Timed out
0.sledgehammer goal.using     48392ms Ordered_Resolution_Prover.FO_Ordered_Resolution 985:36736  some (SH 48392ms, ATP 1961ms): Try this: by (simp add: as0(8) n(17,7) renames_CAs0 sel_ren_list_inv) (42 ms)
0.sledgehammer goal.by        21022ms Ordered_Resolution_Prover.FO_Ordered_Resolution 985:36781  some (SH 21022ms, ATP 2649ms): Try this: by simp (374 ms)
0.sledgehammer goal.using     27814ms Ordered_Resolution_Prover.FO_Ordered_Resolution 988:36845  some (SH 27814ms, ATP 981ms): Try this: using As0'_def D0'_def DA0'_def as0(15) mset_subst_atm_list_subst_atm_mset subst_cls_negs subst_cls_union by presburger (3 ms)
0.sledgehammer goal.by        11066ms Ordered_Resolution_Prover.FO_Ordered_Resolution 988:36885  some (SH 11066ms, ATP 680ms): Try this: using mset_subst_atm_list_subst_atm_mset subst_cls_negs subst_cls_union by presburger (3 ms)
0.sledgehammer goal.by         5132ms Ordered_Resolution_Prover.FO_Ordered_Resolution 990:36940  some (SH 5132ms, ATP 612ms): Try this: using mset_subset_eq_add_left by blast (4 ms)
0.sledgehammer goal.by         7615ms Ordered_Resolution_Prover.FO_Ordered_Resolution 992:37025  some (SH 7615ms, ATP 741ms): Try this: using mset_subset_eq_add_right by blast (0.7 ms)
0.sledgehammer goal.using     35715ms Ordered_Resolution_Prover.FO_Ordered_Resolution 995:37106  some (SH 35715ms, ATP 1307ms): Try this: using AAs0'_def CAs0'_def Cs0'_def as0(19) n(10,11,17,7) subst_atm_mset_lists_nth subst_cls_lists_nth subst_cls_poss subst_cls_union by presburger (7 ms)
0.sledgehammer goal.by        18402ms Ordered_Resolution_Prover.FO_Ordered_Resolution 995:37151  some (SH 18402ms, ATP 1578ms): Try this: using subst_atm_mset_lists_nth subst_cls_lists_nth subst_cls_poss subst_cls_union by presburger (32 ms)
0.sledgehammer goal.by        10448ms Ordered_Resolution_Prover.FO_Ordered_Resolution 997:37205  some (SH 10447ms, ATP 976ms): Try this: by simp (6 ms)
0.sledgehammer goal.by         7314ms Ordered_Resolution_Prover.FO_Ordered_Resolution 999:37304  some (SH 7314ms, ATP 993ms): Try this: by simp (2 ms)
0.sledgehammer goal.by        33460ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1001:37401  some (SH 33460ms, ATP 1388ms): Try this: by (simp add: CAs0'_split) (3 ms)
0.sledgehammer goal.proof     24077ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1005:37529  some (SH 24077ms, ATP 595ms): Try this: by (metis As0'_def DA0'_def as0(16) mset_subst_atm_list_subst_atm_mset renames_DA0 sel_stable subst_cls_negs) (26 ms)
0.sledgehammer goal.using      5563ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1008:37642  some (SH 5563ms, ATP 530ms): Try this: using as0(16) by argo (4 ms)
0.sledgehammer goal.unfolding  4546ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1008:37656  some (SH 4546ms, ATP 505ms): Try this: by argo (2 ms)
0.sledgehammer goal.by         7703ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1008:37672  some (SH 7703ms, ATP 785ms): Try this: by argo (3 ms)
0.sledgehammer goal.using     19778ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1010:37729  some (SH 19778ms, ATP 800ms): Try this: by (simp add: As0'_def DA0'_def renames_DA0 sel_stable) (7 ms)
0.sledgehammer goal.using     13256ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1010:37754  some (SH 13256ms, ATP 1160ms): Try this: by (simp add: renames_DA0 sel_stable) (15 ms)
0.sledgehammer goal.by         8309ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1010:37793  some (SH 8309ms, ATP 757ms): Try this: by fastforce (32 ms)
0.sledgehammer goal.unfolding 25826ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1014:37853  some (SH 25826ms, ATP 794ms): Try this: by (metis CAs0'_def DA0'_def Nitpick.size_list_simp(2) \<rho>_def \<rho>s_def list.collapse n(6) nat.distinct(1) renamings_apart_var_disjoint subst_cls_lists_Cons) (87 ms)
0.sledgehammer goal.using     21060ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1014:37882  some (SH 21060ms, ATP 1039ms): Try this: by (metis Nitpick.size_list_simp(2) \<rho>_def \<rho>s_def list.collapse n(6) nat.distinct(1) renamings_apart_var_disjoint subst_cls_lists_Cons) (47 ms)
0.sledgehammer goal.unfolding 19381ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1015:37921  some (SH 19381ms, ATP 1093ms): Try this: by (metis Nitpick.size_list_simp(2) \<rho>_def \<rho>s_def list.collapse n(6) nat.distinct(1) subst_cls_lists_Cons) (71 ms)
0.sledgehammer goal.by        17097ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1016:37948  some (SH 17097ms, ATP 1213ms): Try this: by (metis list.collapse list.size(3) n(6) nat.distinct(1) subst_cls_lists_Cons) (57 ms)
0.sledgehammer goal.unfolding 35895ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1020:38187  timeout (SH 35895ms): Timed out
0.sledgehammer goal.using     36924ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1020:38214  some (SH 36924ms, ATP 2778ms): Try this: by (simp add: n(1,2)) (21 ms)
